# File data events on timelines in the model
# No.   Airport    AircraftType     EventDate_EventTime
1  DAD  01  001_06h00
2  DAD  01  001_08h00
3  DAD  01  001_08h05
4  DAD  01  001_09h00
5  DAD  01  001_10h00
6  DAD  01  001_11h00
7  DAD  01  001_11h05
8  DAD  01  001_12h00
9  DAD  01  001_12h05
10  DAD  01  001_13h00
11  DAD  01  001_13h05
12  DAD  01  001_14h00
13  DAD  01  001_14h05
14  DAD  01  001_15h00
15  DAD  01  001_15h05
16  DAD  01  001_16h05
17  DAD  01  001_17h00
18  DAD  01  001_17h05
19  DAD  01  001_18h00
20  DAD  01  001_18h05
21  DAD  01  001_19h00
22  DAD  01  001_19h05
23  DAD  01  001_20h00
24  DAD  01  001_20h05
25  DAD  01  001_22h05
26  DAD  02  001_06h00
27  DAD  02  001_08h00
28  DAD  02  001_08h05
29  DAD  02  001_09h00
30  DAD  02  001_10h00
31  DAD  02  001_11h00
32  DAD  02  001_11h05
33  DAD  02  001_12h00
34  DAD  02  001_12h05
35  DAD  02  001_13h00
36  DAD  02  001_13h05
37  DAD  02  001_14h00
38  DAD  02  001_14h05
39  DAD  02  001_15h00
40  DAD  02  001_15h05
41  DAD  02  001_16h05
42  DAD  02  001_17h00
43  DAD  02  001_17h05
44  DAD  02  001_18h00
45  DAD  02  001_18h05
46  DAD  02  001_19h00
47  DAD  02  001_19h05
48  DAD  02  001_20h00
49  DAD  02  001_20h05
50  DAD  02  001_22h05
51  DAD  03  001_06h00
52  DAD  03  001_08h00
53  DAD  03  001_08h05
54  DAD  03  001_09h00
55  DAD  03  001_10h00
56  DAD  03  001_11h00
57  DAD  03  001_11h05
58  DAD  03  001_12h00
59  DAD  03  001_12h05
60  DAD  03  001_13h00
61  DAD  03  001_13h05
62  DAD  03  001_14h00
63  DAD  03  001_14h05
64  DAD  03  001_15h00
65  DAD  03  001_15h05
66  DAD  03  001_16h05
67  DAD  03  001_17h00
68  DAD  03  001_17h05
69  DAD  03  001_18h00
70  DAD  03  001_18h05
71  DAD  03  001_19h00
72  DAD  03  001_19h05
73  DAD  03  001_20h00
74  DAD  03  001_20h05
75  DAD  03  001_22h05
76  HAN  01  001_06h00
77  HAN  01  001_07h00
78  HAN  01  001_08h00
79  HAN  01  001_08h05
80  HAN  01  001_08h55
81  HAN  01  001_09h00
82  HAN  01  001_09h55
83  HAN  01  001_10h00
84  HAN  01  001_10h05
85  HAN  01  001_10h55
86  HAN  01  001_11h00
87  HAN  01  001_11h55
88  HAN  01  001_12h00
89  HAN  01  001_12h55
90  HAN  01  001_13h00
91  HAN  01  001_13h05
92  HAN  01  001_13h55
93  HAN  01  001_14h00
94  HAN  01  001_14h55
95  HAN  01  001_15h00
96  HAN  01  001_15h55
97  HAN  01  001_16h00
98  HAN  01  001_16h05
99  HAN  01  001_16h55
100  HAN  01  001_17h00
101  HAN  01  001_17h05
102  HAN  01  001_17h55
103  HAN  01  001_18h00
104  HAN  01  001_18h55
105  HAN  01  001_19h00
106  HAN  01  001_19h55
107  HAN  01  001_20h00
108  HAN  01  001_20h05
109  HAN  01  001_20h55
110  HAN  01  001_21h00
111  HAN  01  001_21h05
112  HAN  01  001_21h55
113  HAN  01  001_22h00
114  HAN  01  001_22h05
115  HAN  01  001_22h55
116  HAN  01  001_23h55
117  HAN  01  002_00h55
118  HAN  02  001_06h00
119  HAN  02  001_07h00
120  HAN  02  001_08h00
121  HAN  02  001_08h05
122  HAN  02  001_08h55
123  HAN  02  001_09h00
124  HAN  02  001_09h55
125  HAN  02  001_10h00
126  HAN  02  001_10h05
127  HAN  02  001_10h55
128  HAN  02  001_11h00
129  HAN  02  001_11h55
130  HAN  02  001_12h00
131  HAN  02  001_12h55
132  HAN  02  001_13h00
133  HAN  02  001_13h05
134  HAN  02  001_13h55
135  HAN  02  001_14h00
136  HAN  02  001_14h55
137  HAN  02  001_15h00
138  HAN  02  001_15h55
139  HAN  02  001_16h00
140  HAN  02  001_16h05
141  HAN  02  001_16h55
142  HAN  02  001_17h00
143  HAN  02  001_17h05
144  HAN  02  001_17h55
145  HAN  02  001_18h00
146  HAN  02  001_18h55
147  HAN  02  001_19h00
148  HAN  02  001_19h55
149  HAN  02  001_20h00
150  HAN  02  001_20h05
151  HAN  02  001_20h55
152  HAN  02  001_21h00
153  HAN  02  001_21h05
154  HAN  02  001_21h55
155  HAN  02  001_22h00
156  HAN  02  001_22h05
157  HAN  02  001_22h55
158  HAN  02  001_23h55
159  HAN  02  002_00h55
160  HAN  03  001_06h00
161  HAN  03  001_07h00
162  HAN  03  001_08h00
163  HAN  03  001_08h05
164  HAN  03  001_08h55
165  HAN  03  001_09h00
166  HAN  03  001_09h55
167  HAN  03  001_10h00
168  HAN  03  001_10h05
169  HAN  03  001_10h55
170  HAN  03  001_11h00
171  HAN  03  001_11h55
172  HAN  03  001_12h00
